08:08:18.566 [main] INFO com.opsmx.AuditClientServiceApplication -- Starting Audit client service...

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.2.2)

2024-10-18T08:08:33.058Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/violations/applications/{applicationName}]}
2024-10-18T08:08:33.058Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/users/{username}/pipelineconfig/download]}
2024-10-18T08:08:33.058Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/users/{username}/policies/download], produces [text/csv]}
2024-10-18T08:08:33.058Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/users/count]}
2024-10-18T08:08:33.058Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/users/{username}/policies/summary]}
2024-10-18T08:08:33.059Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/gates/byhour]}
2024-10-18T08:08:33.208Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/users]}
2024-10-18T08:08:33.209Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/users/{username}/pipeline/download]}
2024-10-18T08:08:33.209Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/users/count/hourwise], consumes [application/json]}
2024-10-18T08:08:33.209Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/users/count/datewise], consumes [application/json]}
2024-10-18T08:08:33.209Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/users/{username}/pipelineconfig]}
2024-10-18T08:08:33.209Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/policieSummary]}
2024-10-18T08:08:33.209Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/users/totalcount/hourwise]}
2024-10-18T08:08:33.209Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/users/{username}/policies]}
2024-10-18T08:08:33.209Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/users/totalcount/datewise]}
2024-10-18T08:08:33.210Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/cddashboard/widgetRawData], produces [application/json]}
